timestamp,rank,title,link
2026-02-13 01:16:41 UTC,1,Trump revokes landmark ruling that greenhouse gases endanger public health,https://www.bbc.co.uk/news/articles/cn0zdd7yl4vo
2026-02-13 01:16:41 UTC,2,"'We warned nursery about abuser Vincent Chan - they dismissed us,' parents tell BBC",https://www.bbc.co.uk/news/articles/cd03z3gerx9o
2026-02-13 01:16:41 UTC,3,Sir Chris Wormald forced out as head of Civil Service,https://www.bbc.co.uk/news/articles/c3wlqy6695do
2026-02-13 01:16:41 UTC,4,Church of England abandons proposals for same-sex blessing ceremonies,https://www.bbc.co.uk/news/articles/cp9mz34184po
2026-02-13 01:16:41 UTC,5,"Iran fortifies underground complex near nuclear site, satellite images show",https://www.bbc.co.uk/news/articles/cwygxz81330o
2026-02-13 01:16:41 UTC,6,Can a pulse of electricity to the brain make us less selfish?,https://www.bbc.co.uk/news/articles/c20znqe2yqlo
2026-02-13 01:16:41 UTC,7,Aberdeen finally sees sunshine after 21 days of gloom,https://www.bbc.co.uk/news/articles/c14mlrd460vo
2026-02-13 01:16:41 UTC,8,Vaping in cars with children could be banned under new plans,https://www.bbc.co.uk/news/articles/cwy61zlg10vo
2026-02-13 01:16:41 UTC,9,Analysis: Trump takes victory lap after biggest climate rollback yet,https://www.bbc.co.uk/news/articles/cvg8xjm8932o
2026-02-13 01:16:41 UTC,10,"'Vast majority' of parents should be involved if children question their gender, schools told",https://www.bbc.co.uk/news/articles/c2k809vnx0yo
2026-02-13 04:10:42 UTC,1,Catfishing a conman back on dating app days after jail release,https://www.bbc.co.uk/news/articles/cj0np329lmeo
2026-02-13 04:10:42 UTC,2,'Cull at No 10' and 'Ban United',https://www.bbc.co.uk/news/articles/cx2gnzz2j04o
2026-02-13 04:10:42 UTC,3,Trump revokes landmark ruling that greenhouse gases endanger public health,https://www.bbc.co.uk/news/articles/cn0zdd7yl4vo
2026-02-13 04:10:42 UTC,4,Analysis: Trump takes victory lap after biggest climate rollback yet,https://www.bbc.co.uk/news/articles/cvg8xjm8932o
2026-02-13 04:10:42 UTC,5,Sir Chris Wormald forced out as head of Civil Service,https://www.bbc.co.uk/news/articles/c3wlqy6695do
2026-02-13 04:10:42 UTC,6,Why I stopped saying no to my toddler,https://www.bbc.co.uk/news/articles/ce91rpdge7eo
2026-02-13 04:10:42 UTC,7,Can a pulse of electricity to the brain make us less selfish?,https://www.bbc.co.uk/news/articles/c20znqe2yqlo
2026-02-13 04:10:42 UTC,8,'Everyone knows somebody affected' - small Canadian town united in grief after mass shooting,https://www.bbc.co.uk/news/articles/czj17z7l9jmo
2026-02-13 04:10:42 UTC,9,"Who were the victims of the shootings in Tumbler Ridge, Canada?",https://www.bbc.co.uk/news/articles/c0rjg9ddgkqo
2026-02-13 04:10:42 UTC,10,Rise in half-term holiday bookings after rainy January,https://www.bbc.co.uk/news/articles/c3ew90z9jezo
2026-02-13 05:52:33 UTC,1,Catfishing a conman back on dating app days after jail release,https://www.bbc.co.uk/news/articles/cj0np329lmeo
