timestamp,position,title,link
2025-06-24 00:55:27 UTC,1,Live.ÂTrump says ceasefire agreed but Iran and Israel yet to comment,https://www.bbc.co.uk/news/live/cn7ze4vmk2pt
2025-06-24 00:55:27 UTC,2,Talk of regime change resonates with Iranians fleeing across border,https://www.bbc.co.uk/news/articles/cy9xl4nrq8wo
2025-06-24 00:55:27 UTC,3,Did Trump have the legal authority to strike Iran?,https://www.bbc.co.uk/news/articles/c4gkw04yze1o
2025-06-24 00:55:27 UTC,4,What we know about Iran's attack on US base in Qatar,https://www.bbc.co.uk/news/articles/cdjxdgjpd48o
2025-06-24 00:55:27 UTC,5,Israel says it struck Tehran's Evin prison and Fordo access routes,https://www.bbc.co.uk/news/articles/cp8621gnknjo
2025-06-24 00:55:27 UTC,6,What is the Strait of Hormuz and why does it matter?,https://www.bbc.co.uk/news/articles/c78n6p09pzno
2025-06-24 00:55:27 UTC,7,Labour MPs mount major bid to block benefits changes,https://www.bbc.co.uk/news/articles/c8d6947ej5ro
2025-06-24 00:55:27 UTC,8,UK vows to spend 5% of GDP on national security by 2035,https://www.bbc.co.uk/news/articles/c07dk90d94vo
2025-06-24 00:55:27 UTC,9,"Palestine Action to be banned under anti-terror law, home secretary confirms",https://www.bbc.co.uk/news/articles/c4g83l33wdeo
2025-06-24 00:55:27 UTC,10,"More pets being put down due to rising vet bills, BBC told",https://www.bbc.co.uk/news/articles/ce9xjmz70m5o
