timestamp,rank,title,link
2025-09-16 00:48:07 UTC,1,'Crisis for PM grows' and Owen Cooper wins Emmy at 15,https://www.bbc.co.uk/news/articles/c4g933zgd49o
2025-09-16 00:48:07 UTC,2,Why Trump's state visit is mired with potential pitfalls despite careful planning,https://www.bbc.co.uk/news/articles/c4gw25w9841o
2025-09-16 00:48:07 UTC,3,"US destroys alleged Venezuelan drug boat, killing three",https://www.bbc.co.uk/news/articles/cx2jel4gyezo
2025-09-16 00:48:07 UTC,4,Eden Project architect Sir Nicholas Grimshaw dies,https://www.bbc.co.uk/news/articles/cj079z4lgn4o
2025-09-16 00:48:07 UTC,5,Teenager arrested after 15-year-old dies in Manchester stabbing,https://www.bbc.co.uk/news/articles/ce3y9v8e7eqo
2025-09-16 00:48:07 UTC,6,Starmer aide resigns after explicit texts about Abbott surface,https://www.bbc.co.uk/news/articles/ckgy79yr74do
2025-09-16 00:48:07 UTC,7,"DC-style crackdown on crime coming to Memphis, Tennessee, Trump says",https://www.bbc.co.uk/news/articles/c9dxqe3xnv0o
2025-09-16 00:48:07 UTC,8,'I'm just a mixed-race kid from flats in Kirkby',https://www.bbc.co.uk/news/articles/cx2rjgdwweyo
2025-09-16 00:48:07 UTC,9,Hillsborough Law will include duty of candour,https://www.bbc.co.uk/news/articles/czrpvrrrmj2o
2025-09-16 00:48:07 UTC,10,"Report those who celebrate Charlie Kirk death to employers, Vance says",https://www.bbc.co.uk/news/articles/cn0r5y33pj5o
2025-09-16 02:15:19 UTC,1,'Crisis for PM grows' and Owen Cooper wins Emmy at 15,https://www.bbc.co.uk/news/articles/c4g933zgd49o
2025-09-16 02:15:19 UTC,2,Why Trump's state visit is mired with potential pitfalls despite careful planning,https://www.bbc.co.uk/news/articles/c4gw25w9841o
2025-09-16 02:15:19 UTC,3,"US destroys alleged Venezuelan drug boat, killing three",https://www.bbc.co.uk/news/articles/cx2jel4gyezo
2025-09-16 02:15:19 UTC,4,Ready for an autumn declutter? Four ways to get started,https://www.bbc.co.uk/news/articles/ckgen8pkgjjo
2025-09-16 02:15:19 UTC,5,Teenager arrested after 15-year-old dies in Manchester stabbing,https://www.bbc.co.uk/news/articles/ce3y9v8e7eqo
2025-09-16 02:15:19 UTC,6,Eden Project architect Sir Nicholas Grimshaw dies,https://www.bbc.co.uk/news/articles/cj079z4lgn4o
2025-09-16 02:15:19 UTC,7,Starmer aide resigns after explicit texts about Abbott surface,https://www.bbc.co.uk/news/articles/ckgy79yr74do
2025-09-16 02:15:19 UTC,8,Mason: Reform UK amplifies existing jitters for Labour and Conservatives,https://www.bbc.co.uk/news/articles/cj4y2ejlpdjo
2025-09-16 02:15:19 UTC,9,"DC-style crackdown on crime coming to Memphis, Tennessee, Trump says",https://www.bbc.co.uk/news/articles/c9dxqe3xnv0o
2025-09-16 02:15:19 UTC,10,Hillsborough Law will include duty of candour,https://www.bbc.co.uk/news/articles/czrpvrrrmj2o
2025-09-16 03:22:45 UTC,1,'Crisis for PM grows' and Owen Cooper wins Emmy at 15,https://www.bbc.co.uk/news/articles/c4g933zgd49o
2025-09-16 03:22:45 UTC,2,Why Trump's state visit is mired with potential pitfalls despite careful planning,https://www.bbc.co.uk/news/articles/c4gw25w9841o
2025-09-16 03:22:45 UTC,3,"US destroys alleged Venezuelan drug boat, killing three",https://www.bbc.co.uk/news/articles/cx2jel4gyezo
2025-09-16 03:22:45 UTC,4,Ready for an autumn declutter? Four ways to get started,https://www.bbc.co.uk/news/articles/ckgen8pkgjjo
