timestamp,position,title,link
2025-05-05 00:55:20 UTC,1,"Syrian security forces 'oversaw' armed civilians who killed Alawites, accused man says",https://www.bbc.co.uk/news/articles/cm2erkr1n15o
2025-05-05 00:55:20 UTC,2,Iranians among eight arrested in two separate anti-terror operations,https://www.bbc.co.uk/news/articles/cx2wqy5ejdjo
2025-05-05 00:55:20 UTC,3,Royal Family hopes nothing distracts from VE Day commemorations,https://www.bbc.co.uk/news/articles/cy8q6nv91x4o
2025-05-05 00:55:20 UTC,4,Trump says non-US movies to be hit with 100% tariffs,https://www.bbc.co.uk/news/articles/cjr7e2z1rxyo
2025-05-05 00:55:20 UTC,5,Teenager's fire death leaves school 'heartbroken',https://www.bbc.co.uk/news/articles/cz95dwj8x98o
2025-05-05 00:55:20 UTC,6,Brazil police thwart bomb attack on Lady Gaga concert,https://www.bbc.co.uk/news/articles/c209r5pqzneo
2025-05-05 00:55:20 UTC,7,Nationalist Simion ahead in Romanian election rerun,https://www.bbc.co.uk/news/articles/cj0zl1702ego
2025-05-05 00:55:20 UTC,8,Trump says he won't seek a third term,https://www.bbc.co.uk/news/articles/cd9l3399wvno
2025-05-05 00:55:20 UTC,9,Bank of mum and dad 'helps half of first-time buyers',https://www.bbc.co.uk/news/articles/cly1jzl9eedo
2025-05-05 00:55:20 UTC,10,Ed Sheeran renames pub and puts on 'surprise' gig,https://www.bbc.co.uk/news/articles/cm2e4rr9420o
2025-05-05 00:55:20 UTC,11,Israeli army starts calling up reservists for planned expansion to Gaza offensive,https://www.bbc.co.uk/news/articles/cm2e44y44gjo
2025-05-05 00:55:20 UTC,12,Woman missing since 1962 found 'alive and well',https://www.bbc.co.uk/news/articles/cvgpjgwxlxwo
2025-05-05 02:38:43 UTC,1,"Syrian security forces 'oversaw' armed civilians who killed Alawites, accused man says",https://www.bbc.co.uk/news/articles/cm2erkr1n15o
2025-05-05 02:38:43 UTC,2,Iranians among eight arrested in two separate anti-terror operations,https://www.bbc.co.uk/news/articles/cx2wqy5ejdjo
2025-05-05 02:38:43 UTC,3,Royal Family hopes nothing distracts from VE Day commemorations,https://www.bbc.co.uk/news/articles/cy8q6nv91x4o
2025-05-05 02:38:43 UTC,4,Trump orders reopening of notorious Alcatraz prison,https://www.bbc.co.uk/news/articles/cze17n02gego
2025-05-05 02:38:43 UTC,5,27 lives per kilometre: How Russia took record losses in Ukraine in 2024,https://www.bbc.co.uk/news/articles/c5yg4z6v600o
